,Player,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM*,%Dmg,Avg DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
0,Player,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM*,%Dmg,Avg DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
507,Genza,MID,32,37.5%,2.4,3,3,4.2,9.2,408,26.1,449,1.33,0.67,0.27,0.32,-304,-7,-151,25%,9.4%,0,10
508,Getback,MID,46,30.4%,2.2,2.7,3.3,4.7,7.7,365,23.8,412,0.90,0.46,0.14,0.19,-173,-10,-211,26.1%,10.9%,0,8
509,Ggoong,MID,6,16.7%,3.9,0.8,1.7,5.7,6.9,313,25.7,409,1.10,0.48,0.28,0.16,-367,-9,-31,16.7%,16.7%,0,-
510,Ghost,ADC,99,57.6%,3.9,2.7,1.9,4.6,9.7,430,25.9,458,1.30,0.50,0.38,0.20,-75,0,-6,14.1%,8.1%,0,5
511,Gilius,JUNGLE,6,50%,3.1,2.3,2.3,4.8,5.3,332,15.7,269,1.32,0.44,0.28,0.23,62,-0,245,66.7%,0%,0,1
512,GimGoon,TOP,110,77.3%,5,2.8,1.8,6.1,7.5,389,22.3,412,1.00,0.46,0.16,0.15,-148,-15,-82,8.2%,2.7%,0,7
513,Gistick,SUPPORT,9,55.6%,4.3,2,2.6,8.9,1.5,276,12.6,268,2.78,1.48,0.48,0.42,509,8,206,66.7%,11.1%,0,-
514,Glebo,TOP,34,50%,2.2,2.1,2.5,3.4,7.4,355,19.7,329,0.95,0.46,0.16,0.20,11,2,64,14.7%,2.9%,0,14
515,Glowcore,TOP,4,25%,3.4,2.8,1.8,3.3,8,376,23.6,427,0.88,0.47,0.14,0.15,-63,-4,-269,25%,25%,0,2
516,Godbro,MID,22,50%,3.4,2.8,2.6,6,7.9,376,25.5,525,1.18,0.45,0.22,0.19,-16,1,207,13.6%,0%,0,9
517,Gods,TOP,25,68%,2.8,4.2,3,4.2,8.4,431,31.4,595,0.89,0.39,0.15,0.09,721,17,296,28%,16%,0,21
518,Goku,MID,63,76.2%,4.1,3,2.1,5.7,8.2,392,24.2,446,1.11,0.50,0.21,0.25,10,1,48,23.8%,1.6%,0,20
519,Goldenglue,MID,50,70%,4,4.6,2.6,5.9,8.4,419,25.1,552,1.11,0.45,0.24,0.17,324,4,225,24%,10%,0,12
520,Gori,MID,1,0%,1,2,3,1,8.7,354,25.3,228,1.45,0.63,0.39,0.20,-783,1,-685,0%,0%,0,-
521,GorillA,SUPPORT,26,38.5%,2.3,0.6,2.9,6.1,1.4,248,9.1,141,2.27,1.42,0.29,0.47,150,2,47,26.9%,7.7%,0,-
522,Goshuujinn,ADC,5,20%,2.3,4.8,3.8,3.8,9,446,32.7,554,0.94,0.34,0.28,0.10,-46,0,-375,20%,20%,0,2
523,Gotzy,ADC,35,60%,6.3,4.7,1.6,5.4,8.7,434,28.2,523,0.83,0.30,0.17,0.07,355,3,140,40%,11.4%,0,6
524,Gould,ADC,9,22.2%,2.3,2.6,2.7,3.4,7.9,375,19.2,372,0.88,0.31,0.21,0.14,-252,-9,47,11.1%,11.1%,0,2
525,Governor,TOP,11,36.4%,1.8,1.8,3.2,3.9,6.9,336,18.4,318,0.76,0.42,0.08,0.20,-426,-11,-242,27.3%,9.1%,0,4
526,Grace,MID,79,17.7%,2.2,1.6,2.4,3.7,8.5,358,25.3,370,0.95,0.49,0.20,0.23,-318,-5,-178,21.5%,8.9%,0,15
527,Grace,TOP,1,0%,1.8,1,4,6,7.5,322,16.7,287,0.47,0.34,0.10,0.12,-768,-2,-191,0%,0%,0,-
528,Gralou,SUPPORT,21,19%,2.1,0.5,2.8,5.1,1.4,246,8.0,127,2.34,1.40,0.30,0.38,-317,-7,-146,14.3%,14.3%,0,1
529,Grell,JUNGLE,33,66.7%,3.1,2.2,2.9,6.8,5.2,337,15.1,266,1.44,0.44,0.37,0.25,-17,2,-28,21.2%,15.2%,0,10
530,Grendel,SUPPORT,23,60.9%,3.9,0.5,1.9,7,1.6,253,7.1,125,2.27,1.66,0.20,0.44,21,4,-115,8.7%,17.4%,0,1
531,Grendel,TOP,12,91.7%,6.1,1.5,1.5,7.7,6.4,333,13.9,259,1.15,0.54,0.17,0.18,-246,-14,-332,16.7%,16.7%,0,-
532,Gricek,TOP,22,27.3%,1.4,1.2,2.6,2.5,7.6,348,18.8,276,0.91,0.45,0.15,0.16,-455,-13,-340,4.5%,9.1%,0,5
533,Grig,TOP,7,57.1%,2.5,0.9,2.7,6,6.6,341,17.0,349,0.86,0.48,0.08,0.17,-728,-19,-459,14.3%,28.6%,0,-
534,Grig,JUNGLE,22,72.7%,4.8,2.9,2,6.6,5.1,338,14.2,267,1.27,0.46,0.27,0.32,205,2,14,40.9%,9.1%,0,1
535,Grisen,SUPPORT,6,16.7%,2.5,2,3.5,6.7,1.3,240,13.0,192,2.09,1.19,0.27,0.44,41,-1,-99,16.7%,16.7%,0,-
536,Grk,SUPPORT,19,57.9%,3.9,1,2.8,10.1,1.3,258,8.4,165,2.70,1.52,0.41,0.50,177,-3,240,21.1%,10.5%,0,-
537,Grk,MID,1,0%,1.6,2,5,6,8.2,397,28.1,489,0.89,0.63,0.20,0.33,-2165,-50,-1386,0%,0%,0,-
538,GuGer,SUPPORT,17,29.4%,2.8,0.8,2.8,7.1,2.1,254,9.6,163,2.12,1.45,0.25,0.44,-39,8,117,41.2%,5.9%,0,1
539,Guilty,ADC,5,60%,9.5,2.8,0.8,4.8,9.1,434,32.2,725,1.21,0.46,0.24,0.16,554,12,142,20%,0%,0,2
540,Guoguo,MID,2,0%,0.4,0,2.5,1,8.4,323,22.7,296,-,0.57,0.10,0.30,-,-,-,-,-,0,-
541,Guts,JUNGLE,42,14.3%,1.8,1.2,3.3,4.7,4.2,283,13.4,197,1.23,0.58,0.24,0.34,-593,-11,-631,26.2%,11.9%,0,1
542,Gyu,ADC,1,0%,3,2,2,4,8.7,393,25.9,597,1.18,0.57,0.17,0.31,-928,32,1767,0%,0%,0,-
543,Gyu,MID,2,0%,1.3,0.5,1.5,1.5,10,381,17.8,228,0.90,0.51,0.28,0.30,298,32,655,0%,0%,0,-
544,H1IVA,SUPPORT,71,64.8%,2.7,0.9,3.9,9.7,1.6,273,9.2,200,2.54,1.27,0.37,0.42,122,4,12,21.1%,11.3%,0,1
545,H4cker,JUNGLE,29,48.3%,3.3,1.8,2.4,6.4,5.3,329,11.6,211,-,0.80,0.43,0.43,-,-,-,0%,0%,0,-
546,Hackali,MID,14,28.6%,3.4,2.6,1.8,3.4,8.4,379,24.6,421,0.89,0.51,0.08,0.22,92,2,-28,21.4%,0%,0,9
547,Hades,JUNGLE,6,33.3%,1.6,1.7,4.3,5.2,5.3,317,16.1,279,1.82,0.73,0.43,0.33,-166,0,-13,50%,0%,0,-
548,Hades,SUPPORT,19,47.4%,2.3,0.8,3.7,7.7,1.1,234,9.2,148,1.86,1.06,0.25,0.35,-97,7,-159,42.1%,21.1%,0,1
549,Hades,ADC,34,79.4%,5.7,3.9,1.7,6.1,9,442,23.1,476,1.15,0.42,0.25,0.18,-35,-5,-129,29.4%,2.9%,1,2
550,Hadow,SUPPORT,46,54.3%,3.2,0.5,2.8,8.4,1.4,250,9.0,155,2.23,1.43,0.22,0.42,-15,1,-89,19.6%,8.7%,0,-
551,Haeri,MID,42,40.5%,2.7,3,2.6,4.1,8.9,395,27.1,459,0.78,0.37,0.17,0.15,-12,1,-108,21.4%,9.5%,0,14
552,Hai,SUPPORT,11,45.5%,2.8,0.5,2.6,6.8,0.8,233,10.9,173,1.99,1.08,0.24,0.29,-49,0,-110,18.2%,0%,0,-
553,Hai (VN),SUPPORT,5,60%,2.2,1.6,4.4,8.2,1.2,264,9.0,158,2.13,1.07,0.36,0.33,-162,5,-650,60%,0%,0,-
554,Haklbery,TOP,9,22.2%,2.1,2.6,2.6,2.8,8,377,22.4,394,0.80,0.39,0.11,0.15,-130,-2,175,11.1%,11.1%,0,5
555,Hakuho,SUPPORT,40,32.5%,3.2,0.9,2.1,6,1.6,254,10.1,179,2.38,1.32,0.36,0.37,-54,-1,-52,7.5%,7.5%,0,2
556,Hamezz,SUPPORT,18,55.6%,4,2.5,2.8,8.6,1.7,296,10.0,206,2.50,1.33,0.34,0.42,142,7,215,27.8%,5.6%,0,4
557,Hana,JUNGLE,72,66.7%,3.7,1.9,2.2,6.2,4.9,319,11.9,227,2.11,0.97,0.49,0.48,-144,-4,-118,37.5%,6.9%,0,3
558,Hanabi,TOP,89,48.3%,3.3,3,2.2,4.1,8.6,395,21.5,369,1.14,0.56,0.22,0.24,44,3,101,13.5%,10.1%,1,14
559,Hani,TOP,58,53.4%,2.7,2,2.5,4.7,7.3,357,18.1,313,0.93,0.48,0.15,0.21,-570,-14,-100,24.1%,3.4%,0,6
560,Hans sama,ADC,33,36.4%,3.5,3,1.9,3.6,9.2,426,26.7,438,1.07,0.43,0.27,0.19,169,-3,-45,21.2%,6.1%,0,6
561,Hantera,SUPPORT,28,14.3%,2.3,1.1,3.3,6.6,1.4,244,10.5,169,1.88,1.10,0.19,0.36,-305,-1,-16,17.9%,7.1%,0,-
562,Hard,JUNGLE,44,56.8%,3.6,2.3,2.5,6.7,4.7,325,11.4,222,1.66,0.62,0.38,0.32,95,-2,-14,45.5%,6.8%,0,4
563,Hardy,JUNGLE,2,0%,1.4,2,4.5,4.5,4.8,312,18.6,294,1.65,0.64,0.32,0.27,-1582,-20,-1013,0%,0%,0,1
564,Haro,JUNGLE,40,32.5%,2.8,2.7,2.7,4.9,5.1,326,14.6,249,-,0.67,0.40,0.35,-,-,-,0%,0%,0,-
565,Haru,JUNGLE,4,25%,4.2,2.3,1.5,4,5.1,308,15.1,221,1.85,0.70,0.45,0.34,-128,-4,-254,50%,0%,0,-
566,Hatrixx,MID,35,54.3%,3.9,4.6,2.5,5.3,8.8,415,28.9,543,1.07,0.45,0.20,0.22,5,1,94,22.9%,8.6%,0,15
567,Hauntzer,TOP,43,44.2%,3.1,2.2,2.1,4.2,8.6,393,22.9,420,1.12,0.51,0.22,0.18,236,12,308,7%,11.6%,0,5
568,Hauz,MID,2,50%,3.9,3,3.5,10.5,6.7,319,29.2,512,1.16,0.51,0.22,0.33,-663,-16,-184,50%,50%,0,-
569,Hawk,SUPPORT,39,41%,2.4,0.8,3,6.5,2,264,8.7,157,2.07,1.22,0.25,0.40,-22,6,-64,28.2%,10.3%,0,-
570,HeaQ,ADC,53,47.2%,3.8,3.3,2.1,4.7,8.9,414,26.1,470,1.06,0.45,0.19,0.18,-200,-2,88,17%,5.7%,0,3
571,HeaQ,SUPPORT,2,50%,3.9,4.5,3.5,9,1.2,313,10.0,198,2.23,1.05,0.42,0.25,738,1,24,100%,0%,0,-
572,HellMa,TOP,12,0%,0.9,1.6,4.1,1.9,5.7,307,21.3,339,0.77,0.40,0.06,0.14,-2120,-38,-1398,8.3%,25%,0,4
573,HellMa,JUNGLE,2,0%,1.9,2,4.5,6.5,3.4,287,15.3,264,0.87,0.31,0.24,0.27,-1996,-24,-878,0%,50%,0,-
574,Henry,MID,14,14.3%,1.5,2.7,4.1,3.2,7.6,371,28.1,514,0.86,0.37,0.15,0.19,-602,-14,-558,28.6%,14.3%,0,5
575,HiRit,TOP,33,72.7%,4.4,4.1,2.3,6.2,8.1,419,26.6,547,1.03,0.49,0.14,0.16,336,5,121,12.1%,15.2%,0,17
576,Hieu3,SUPPORT,4,75%,6.5,1,1.5,8.8,1.9,276,12.9,249,2.07,1.16,0.33,0.36,-212,3,-227,0%,0%,0,-
577,Hieu3,MID,4,0%,1.5,1.8,4.3,4.5,7.4,339,29.4,560,1.04,0.48,0.18,0.17,-863,-12,-410,25%,0%,0,-
578,Hieu3,ADC,13,76.9%,6.3,4.4,1.9,7.7,8.1,402,24.0,466,1.08,0.47,0.24,0.14,-490,-16,-223,15.4%,23.1%,0,1
579,Highway,SUPPORT,2,0%,0.9,1,4,2.5,1.4,212,13.4,164,2.09,1.09,0.50,0.39,-383,17,-688,0%,50%,0,-
580,Hinn,SUPPORT,41,56.1%,3.4,1,3.3,10.1,1.3,261,9.1,184,2.66,1.41,0.46,0.45,-156,-10,-214,14.6%,4.9%,0,-
581,Hioss,TOP,22,50%,2.9,2.2,2.7,5.7,7,350,19.6,395,0.80,0.41,0.11,0.13,-371,-13,-343,4.5%,18.2%,0,3
582,Hiro,ADC,32,46.9%,3.9,4.3,2.3,4.8,9.3,440,27.0,498,1.14,0.42,0.33,0.16,228,5,28,40.6%,12.5%,0,1
583,Hiro,TOP,25,40%,1.6,2.5,3.4,2.9,8.9,393,24.8,421,1.04,0.50,0.15,0.22,-179,9,-5,16%,24%,0,7
584,Hivito,TOP,34,52.9%,2.7,2.1,2.7,5.1,7.2,348,18.1,327,0.98,0.49,0.13,0.16,-413,-11,-332,8.8%,11.8%,0,7
585,Hjarnan,ADC,16,56.3%,4.3,3.4,2,5.1,9.5,442,25.8,474,1.16,0.39,0.34,0.10,177,10,412,25%,18.8%,0,1
586,Hoglet,JUNGLE,25,72%,2.8,1.9,2.7,5.6,5.1,327,14.5,278,2.27,0.99,0.51,0.38,53,0,-208,40%,20%,0,2
587,Hoit,SUPPORT,37,48.6%,3.3,0.4,2.4,7.5,1.7,263,7.0,118,2.73,1.56,0.46,0.46,-184,-1,-162,21.6%,2.7%,0,-
588,Holder,TOP,37,35.1%,1.8,2.3,3.2,3.5,7.7,369,19.6,330,-,0.44,0.19,0.14,-,-,-,0%,0%,0,-
589,Hollis,MID,21,33.3%,2.2,2.6,3.2,4.4,8.9,393,29.2,491,1.19,0.52,0.29,0.26,207,5,-15,14.3%,9.5%,0,6
590,Holyphoenix,ADC,43,48.8%,5,5.1,2.1,5.3,9,439,30.8,577,0.92,0.31,0.21,0.10,-40,0,-264,14%,9.3%,1,3
591,Homi,SUPPORT,64,59.4%,4.7,0.8,2.2,9.2,1.1,255,9.1,175,2.28,1.39,0.25,0.43,12,1,90,32.8%,12.5%,0,-
592,Hope,ADC,9,33.3%,2.3,2.7,2.9,4.1,8.4,398,24.6,462,-,0.35,0.36,0.10,-,-,-,-,-,0,-
593,Hope (VN),ADC,1,0%,1.5,1,2,2,7.3,306,38.6,586,1.05,0.47,0.24,0.24,-1659,-37,-279,0%,100%,0,-
594,Hopeless,JUNGLE,13,7.7%,1.2,1.9,5.8,4.8,4.9,313,20.4,349,1.00,0.39,0.24,0.19,-1278,-10,-636,23.1%,15.4%,0,-
595,HuSha,JUNGLE,3,33.3%,2.2,1.3,3.3,6,5,308,11.3,189,1.90,0.83,0.38,0.48,-56,-1,-74,33.3%,0%,0,-
596,HuaTian,ADC,2,0%,0.9,1.5,4.5,2.5,8.9,392,26.0,461,-,0.40,0.13,0.10,-,-,-,-,-,0,-
597,HuaTian,MID,59,32.2%,2.1,2.6,3.5,4.5,8.8,389,24.5,432,-,0.49,0.20,0.21,-,-,-,0%,0%,0,-
598,Huanggai,SUPPORT,30,30%,2.2,0.7,3.3,6.7,1.3,236,9.1,149,-,1.53,0.27,0.46,-,-,-,0%,0%,0,-
599,Hudie,SUPPORT,16,31.3%,2.2,0.4,3.6,7.7,1.5,231,8.1,140,-,1.41,0.27,0.40,-,-,-,0%,0%,0,-
600,Huhi,SUPPORT,21,47.6%,3.1,0.9,3,8.4,1.5,258,9.5,204,2.33,1.31,0.31,0.38,33,-4,24,28.6%,9.5%,0,-
601,Huhi,MID,16,37.5%,2.9,2.4,2.1,3.8,8.7,386,24.2,426,1.11,0.54,0.20,0.21,-46,-3,-90,18.8%,18.8%,0,1
602,Humanoid,MID,108,60.2%,2.8,3.6,3.1,5.1,9.4,426,26.2,512,1.05,0.47,0.20,0.17,174,5,59,16.7%,11.1%,0,43
603,HungryPanda,SUPPORT,23,30.4%,1.8,0.7,3.6,5.7,1.2,250,10.4,173,2.40,1.50,0.34,0.53,-182,-2,-375,21.7%,8.7%,0,2
604,Huni,TOP,77,46.8%,2.6,2.6,2.9,4.8,8.2,392,28.6,514,1.06,0.34,0.23,0.16,278,5,89,28.6%,13%,0,18
605,Husky Rider,ADC,18,33.3%,4.1,3.8,1.9,4.2,8.3,396,25.7,448,1.04,0.45,0.20,0.18,-40,-9,49,44.4%,5.6%,0,2
606,HustlinBeasT,SUPPORT,39,53.8%,3.9,1.3,3,10.3,1.7,283,10.0,204,2.18,1.25,0.26,0.39,267,1,224,43.6%,10.3%,0,-
607,HwQ,MID,1,0%,2.2,4,5,7,8.8,390,25.1,514,-,0.40,0.14,0.26,-,-,-,-,-,0,-
608,Hy0g4,JUNGLE,6,50%,1.3,1.5,4.3,4,5.3,335,14.2,255,1.76,0.77,0.37,0.34,-291,12,276,16.7%,0%,0,2
609,Hylissang,SUPPORT,77,64.9%,2.8,1.2,3.6,8.6,1.4,278,11.3,221,2.19,1.25,0.29,0.37,138,-0,89,33.8%,9.1%,0,1
610,Hylissang,MID,1,100%,6,6,5,24,3.3,351,12.4,359,0.82,0.35,0.16,0.25,-1037,-26,830,0%,0%,0,-
611,Hyorai,SUPPORT,28,32.1%,2.5,0.9,3.5,7.9,1.4,260,12.3,238,2.20,1.23,0.29,0.33,25,2,225,32.1%,10.7%,0,-
612,Hırø,ADC,2,0%,1.7,3.5,3.5,2.5,8.5,409,28.6,382,1.50,0.46,0.34,0.14,304,-2,-87,50%,50%,0,2
613,ISherlock,SUPPORT,19,10.5%,1.8,1.1,4.4,6.7,1.1,225,11.5,193,1.85,0.90,0.23,0.22,-369,2,-80,10.5%,0%,0,1
614,Ian,MID,21,42.9%,2.7,2,2.4,4.5,8.3,372,23.3,426,-,0.47,0.27,0.21,-,-,-,0%,0%,0,-
615,Ian,JUNGLE,1,0%,1,1,3,2,5.3,320,14.1,163,-,0.36,0.36,0.45,-,-,-,-,-,0,-
616,Idyiom,JUNGLE,2,0%,0.5,1,4,1,4.5,277,14.1,163,0.97,0.39,0.24,0.23,-988,-34,-1106,0%,0%,0,-
617,IgNar,SUPPORT,51,51%,4.8,0.9,2,8.5,1.4,255,8.0,141,2.61,1.61,0.39,0.47,-90,-3,25,25.5%,9.8%,0,1
618,Ikssu,TOP,7,71.4%,4.2,3,1.9,4.7,6.8,358,25.0,416,1.06,0.48,0.25,0.17,335,-0,221,28.6%,0%,0,2
619,Imbi,ADC,13,15.4%,1.6,1.6,2.9,3.2,7.8,349,28.6,441,0.84,0.33,0.15,0.12,-990,-15,-471,15.4%,15.4%,0,-
620,Impact,TOP,84,66.7%,3.4,2.7,2.3,5.2,7.8,387,24.9,458,0.91,0.46,0.15,0.17,-11,-6,-71,17.9%,10.7%,0,17
621,InKos,JUNGLE,14,71.4%,3.9,2.6,2.6,7.4,5.2,352,16.3,295,1.56,0.52,0.33,0.29,271,-0,172,42.9%,7.1%,0,-
622,Inceneratus,JUNGLE,35,65.7%,4.1,2.9,2.2,6.1,5.8,369,12.8,239,1.28,0.36,0.28,0.17,431,11,606,45.7%,2.9%,0,5
623,Infinity,JUNGLE,8,25%,1.9,2.3,3,3.5,5.2,312,15.4,246,1.41,0.70,0.27,0.27,-168,7,-59,12.5%,25%,0,-
624,Innaxe,ADC,49,65.3%,4.7,4.7,2.2,5.9,8.7,434,25.8,496,1.19,0.43,0.34,0.15,-78,-4,-20,14.3%,4.1%,0,5
625,Insanity,MID,46,50%,3.2,3.2,2.5,4.7,8.1,383,27.1,467,1.05,0.51,0.20,0.21,-231,-8,-94,15.2%,15.2%,1,15
626,Inspired,JUNGLE,79,64.6%,4.4,2.8,2.1,6.6,5.5,350,15.5,289,1.57,0.51,0.36,0.28,304,9,394,34.2%,6.3%,0,15
627,Intgration,ADC,14,0%,0.9,1.4,4.8,2.8,6,320,21.7,349,0.54,0.35,0.04,0.13,-2761,-28,-1245,14.3%,21.4%,0,1
628,Intgration,TOP,8,0%,0.9,1.5,5.3,3.3,5.9,306,24.2,392,0.64,0.37,0.05,0.12,-1206,-17,-828,0%,37.5%,0,3
629,Invoker,SUPPORT,5,0%,0.4,0.2,4,1.2,1.5,199,6.0,90,1.78,1.19,0.22,0.39,-846,-4,-513,0%,40%,0,-
630,Ippon,JUNGLE,23,13%,1.9,2,3.5,4.7,4.6,300,12.8,222,1.21,0.51,0.24,0.34,-350,-6,-424,43.5%,8.7%,0,1
631,Isles,SUPPORT,3,66.7%,6.2,1.3,1.7,9,2.8,269,8.9,146,2.11,1.37,0.29,0.39,78,24,32,0%,0%,0,-
632,ItsCortez,JUNGLE,19,31.6%,2.5,3.2,3.6,5.8,5.3,347,16.1,315,1.41,0.47,0.37,0.32,503,9,276,47.4%,0%,0,7
633,Itsi,JUNGLE,25,24%,1.6,1.2,3.7,4.6,4.7,297,10.9,178,1.53,0.57,0.36,0.27,-359,-9,-218,24%,16%,0,2
634,JGY,JUNGLE,33,21.2%,1.7,2.3,4.4,5,5.3,332,17.6,325,1.56,0.41,0.43,0.30,77,5,215,33.3%,18.2%,0,4
635,JackeyLove,ADC,125,64%,4.2,5,2.6,5.7,9.5,463,26.0,575,1.12,0.34,0.36,0.14,60,7,-29,2.4%,4%,1,5
636,Jacob,JUNGLE,11,36.4%,2.7,1.5,2.6,5.7,4.4,299,11.3,173,1.25,0.41,0.31,0.33,-420,-11,-512,9.1%,18.2%,0,-
637,Jakamaka,ADC,8,25%,4.9,3.4,1.8,5.1,8.4,394,24.5,507,0.98,0.32,0.26,0.10,209,4,170,12.5%,0%,0,1
638,Jankos,JUNGLE,92,69.6%,4.3,3.2,2.5,7.6,5.1,351,15.3,309,2.07,0.86,0.46,0.31,203,5,270,37%,4.3%,0,16
639,Japone,SUPPORT,47,66%,4.3,0.6,2.3,9.3,1.5,257,9.3,165,2.48,1.33,0.34,0.37,102,1,26,38.3%,8.5%,0,-
640,Jaunutis,JUNGLE,3,0%,1.5,2,3.7,3.7,4.6,303,13.8,216,1.24,0.33,0.31,0.32,-374,-14,-481,0%,0%,0,-
641,Javaaa,ADC,53,50.9%,4.1,4.2,2.3,5.3,8.8,424,27.9,504,1.23,0.49,0.31,0.19,-96,-7,20,20.8%,5.7%,0,4
642,Jay,MID,68,30.9%,2.5,2.7,2.8,4.2,8,370,24.2,426,-,0.38,0.26,0.19,-,-,-,-,-,1,-
643,JayJ,SUPPORT,46,41.3%,2.3,0.5,3.1,6.6,1.3,240,9.8,161,2.24,1.38,0.26,0.42,-31,-4,-66,21.7%,10.9%,0,-
644,Jayke,SUPPORT,66,50%,3,0.6,3.2,9.1,1.1,251,9.2,184,2.24,1.24,0.28,0.42,-98,-4,-172,25.8%,15.2%,0,-
645,Jejky,JUNGLE,53,66%,3.2,2.6,3.1,7.4,5.4,354,15.6,297,1.59,0.62,0.37,0.34,444,4,330,45.3%,11.3%,0,8
646,Jekyll,SUPPORT,11,36.4%,1.9,0.7,3.5,6.2,0.9,228,10.5,171,1.73,0.89,0.16,0.30,-173,-5,114,9.1%,9.1%,0,-
647,Jellou,MID,2,50%,1.9,3.5,5,6,5.5,311,17.9,427,0.95,0.55,0.11,0.05,-1614,-36,-969,0%,0%,0,-
648,Jellou,TOP,2,0%,1.2,1,3,2.5,5.1,269,22.1,343,0.75,0.37,0.11,0.08,-2817,-58,-1160,0%,50%,0,-
649,Jellou,JUNGLE,17,41.2%,2.1,1.7,3.4,5.3,4.7,304,14.8,250,1.69,0.69,0.33,0.23,-560,-5,-379,11.8%,17.6%,0,1
650,Jelly,SUPPORT,25,28%,2.1,0.4,3.2,6.2,1.6,238,7.5,113,2.38,1.47,0.31,0.48,-83,-4,-80,16%,12%,0,2
651,Jenax,MID,24,66.7%,5,4.5,1.9,5.1,8.8,422,25.9,536,1.20,0.47,0.22,0.16,178,0,38,12.5%,4.2%,0,8
652,Jenkins,TOP,46,50%,2.7,2.7,2.6,4.1,7.8,372,25.5,447,1.04,0.51,0.18,0.21,-11,-1,-45,17.4%,8.7%,0,25
653,Jensen,MID,84,66.7%,4.5,3.9,2,4.9,8.8,408,26.8,493,0.86,0.37,0.16,0.18,-28,1,109,17.9%,8.3%,0,33
654,Jeskla,ADC,31,29%,2.5,2.5,2.6,4,9,406,27.7,436,1.07,0.48,0.23,0.20,-358,-8,-79,16.1%,9.7%,0,1
655,Jeskla,TOP,1,0%,1.4,4,7,6,6.2,358,21.9,561,0.52,0.48,0.04,0.22,-62,8,482,0%,100%,0,-
656,Jester,MID,44,52.3%,3,3.3,2.7,4.8,8,382,24.6,482,1.05,0.56,0.15,0.26,-323,-7,-174,18.2%,9.1%,0,19
657,Jestkui Max,SUPPORT,37,70.3%,4.5,1.2,2.2,8.9,1.4,268,7.6,160,2.20,1.26,0.26,0.38,245,0,228,18.9%,2.7%,0,-
658,Jestkui Max,ADC,1,100%,25,16,1,9,4.9,617,20.6,644,0.62,0.31,0.18,0.13,2086,-15,1401,100%,0%,1,-
659,Jiangqiao,TOP,13,15.4%,1.8,2.4,3.6,4.2,7.4,350,21.6,419,-,0.43,0.10,0.14,-,-,-,-,-,0,-
660,Jiejie,JUNGLE,44,59.1%,3.9,2.1,2.4,7.2,4.8,327,13.3,244,-,0.80,0.35,0.34,-,-,-,0%,0%,0,-
661,Jiizuke,MID,42,42.9%,2,2.9,3.3,3.8,8.8,404,28.0,501,0.88,0.44,0.13,0.15,105,3,-25,7.1%,14.3%,0,16
662,Jinoo,TOP,80,48.8%,3,2.9,2.6,4.6,8.1,394,24.7,436,-,0.51,0.26,0.24,-,-,-,0%,0%,0,-
663,Jisoo,ADC,33,36.4%,2.8,3,2.4,3.8,9.6,423,24.7,415,1.33,0.58,0.34,0.25,198,12,-20,21.2%,3%,0,1
664,Jisu,TOP,17,29.4%,2.4,2.2,2.4,3.6,8.1,376,21.7,386,0.94,0.40,0.22,0.15,-419,-11,-204,17.6%,0%,0,4
665,Jiumeng,ADC,2,0%,0.9,0,3.5,3,9.6,374,33.6,507,-,0.35,0.40,0.15,-,-,-,0%,0%,0,-
666,Jjun,JUNGLE,11,63.6%,5,2.9,1.9,6.7,5,336,13.8,250,1.61,0.62,0.39,0.34,301,-2,162,54.5%,0%,0,1
667,JoJo,SUPPORT,21,28.6%,2.5,0.7,2.8,6.1,1.3,233,10.6,171,2.15,1.34,0.28,0.51,-149,-10,-132,33.3%,14.3%,0,-
668,Jockster,SUPPORT,33,39.4%,2.2,1,4,7.8,1.7,262,9.3,164,2.16,1.40,0.25,0.49,17,-0,183,30.3%,18.2%,0,-
669,Joey,SUPPORT,18,33.3%,3.1,1.5,3.3,8.6,0.8,249,11.9,224,2.05,1.27,0.29,0.40,-140,-7,-300,16.7%,0%,0,1
670,JohnArnau,TOP,3,0%,1.3,1.7,3,2.3,8.7,380,25.2,418,0.92,0.52,0.08,0.25,513,27,325,0%,0%,0,-
671,Johnsun,ADC,4,0%,1.3,2.3,3.8,2.8,7.2,370,23.1,384,1.30,0.56,0.27,0.16,-280,-31,-211,25%,0%,0,1
672,Joker,MID,1,0%,1.5,1,2,2,8.6,368,25.9,284,0.65,0.34,0.27,0.08,-220,6,80,0%,100%,0,-
673,Joker,ADC,21,33.3%,2.2,2.9,3,3.8,8.3,378,24.0,349,0.91,0.33,0.17,0.11,-699,-15,-227,23.8%,19%,0,1
674,Joker,SUPPORT,99,57.6%,2.3,0.5,3.1,6.5,1.9,262,8.6,147,2.66,1.75,0.41,0.52,41,1,51,17.2%,13.1%,0,2
675,Joo,SUPPORT,17,70.6%,3.8,1.1,2.7,9.2,1.3,276,8.6,159,2.15,1.16,0.30,0.37,361,4,-61,17.6%,11.8%,0,-
