,Player,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM*,%Dmg,Avg DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
0,Player,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM*,%Dmg,Avg DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
260,Closer,JUNGLE,60,71.7%,4.5,2.9,2.3,7.3,4.7,335,14.2,260,1.70,0.59,0.38,0.26,191,3,-62,45%,8.3%,0,13
261,Codpiece,SUPPORT,1,0%,0.8,0,4,3,2,225,4.0,78,2.32,1.36,0.28,0.34,35,21,458,0%,0%,0,-
262,Cody Sun,ADC,81,44.4%,5.1,4,1.6,4.2,9.6,441,30.8,563,1.09,0.38,0.30,0.16,127,5,203,13.6%,1.2%,0,5
263,Colamax,JUNGLE,6,16.7%,2,0.7,4.3,7.8,3.8,276,9.8,170,1.43,0.64,0.28,0.40,-342,-10,-220,33.3%,0%,0,-
264,Coldenfeet,ADC,2,0%,2.6,6,4.5,5.5,9,453,35.0,926,1.04,0.42,0.16,0.12,664,8,74,50%,0%,0,-
265,Coldenfeet,TOP,16,50%,2.5,3.6,3.8,5.9,7.6,392,22.3,485,0.86,0.44,0.11,0.19,-363,-4,-382,18.8%,12.5%,0,9
266,Color,TOP,50,44%,2.2,1.6,2.6,4.2,7.7,351,19.6,321,1.07,0.49,0.17,0.17,-416,-7,-260,20%,12%,0,9
267,Comeback,MID,8,50%,2.5,2.4,2.3,3.3,8.5,382,26.3,450,0.88,0.41,0.12,0.10,79,10,208,12.5%,0%,0,1
268,Comp,ADC,51,76.5%,7.1,5.2,1.6,6.1,9.9,479,28.1,570,1.26,0.46,0.34,0.18,408,3,157,33.3%,3.9%,2,6
269,Condi,JUNGLE,48,43.8%,3.3,2.3,2.7,6.3,4.6,317,11.5,210,-,0.53,0.41,0.35,-,-,-,0%,0%,0,-
270,Conjo,ADC,9,55.6%,3.6,3,2.3,5.4,8.6,392,23.8,455,1.02,0.38,0.23,0.14,185,1,-41,66.7%,11.1%,0,-
271,Contractz,JUNGLE,43,44.2%,2.6,2.1,2.7,5.2,4.8,314,13.3,245,1.67,0.64,0.41,0.29,-135,-5,-212,37.2%,2.3%,0,3
272,Cookie,ADC,11,36.4%,3.3,2.8,2.2,4.4,9,402,27.6,511,1.24,0.35,0.34,0.16,-327,-9,-162,18.2%,18.2%,0,-
273,CoreJJ,SUPPORT,84,66.7%,4.5,0.9,2.2,8.9,1.7,261,8.2,149,2.47,1.33,0.36,0.36,247,7,157,26.2%,11.9%,0,1
274,Corn,MID,39,33.3%,3.4,3,2.4,5.3,8.4,386,23.9,405,-,0.45,0.18,0.24,-,-,-,0%,0%,0,-
275,Corporal,SUPPORT,25,12%,1.2,0.7,3.9,4.1,1.3,226,8.0,123,2.17,1.36,0.24,0.47,-345,-1,-224,20%,12%,0,1
276,Cospect,SUPPORT,28,64.3%,4,1.6,3,10.7,1.5,283,10.1,212,2.44,1.26,0.32,0.33,280,-2,32,25%,7.1%,0,1
277,Cotopaco,MID,53,60.4%,3.3,2.8,2.5,5.3,8.1,380,27.4,501,1.08,0.46,0.23,0.21,12,-5,64,20.8%,7.5%,0,12
278,Counter,ADC,17,41.2%,2.1,2.5,3.1,3.9,8.3,386,25.6,426,1.06,0.41,0.20,0.14,181,-3,-38,23.5%,17.6%,0,2
279,Cover,MID,7,71.4%,2.1,1.7,3.4,5.6,7.8,362,22.0,368,1.86,0.82,0.56,0.25,-19,3,38,28.6%,28.6%,0,1
280,Coyote,TOP,6,33.3%,1.7,1.7,3.7,4.7,7.5,345,19.6,351,1.06,0.64,0.12,0.33,210,4,33,33.3%,0%,0,3
281,Cpt Lipanek,ADC,1,0%,2.5,1,2,4,10.3,414,28.5,346,1.16,0.36,0.25,0.11,-216,3,-67,0%,0%,0,-
282,Cpt Lipanek,JUNGLE,19,68.4%,4,3.3,2.7,7.8,5.2,352,14.9,306,1.38,0.54,0.30,0.30,298,1,136,31.6%,5.3%,0,6
283,CrAzY (PL),JUNGLE,25,52%,3.3,2.6,2.4,5.2,5.3,339,15.5,284,1.45,0.45,0.37,0.22,144,5,12,36%,20%,0,3
284,Crash,JUNGLE,75,57.3%,3.7,2.5,2.4,6.3,5.5,347,14.0,247,1.85,0.66,0.45,0.27,254,5,184,40%,8%,1,5
285,Crayzee,SUPPORT,37,16.2%,1.8,0.8,3.5,5.4,1.1,240,8.5,129,1.85,1.11,0.25,0.41,-199,-6,-125,16.2%,5.4%,0,-
286,Crazy,JUNGLE,3,33.3%,1.5,3,4.3,3.3,5.7,339,15.9,273,1.29,0.43,0.27,0.29,-720,1,-662,33.3%,33.3%,0,-
287,Crazycaps,SUPPORT,3,0%,0.7,1,4,1.7,2.5,228,7.4,104,1.84,1.05,0.18,0.44,-133,32,-306,0%,33.3%,0,-
